Id,Label
coronavirus,coronavirus
china,china
outbreak,outbreak
virus,virus
case,case
say,say
new,new
spread,spread
death,death
people,people
health,health
late,late
report,report
cruise,cruise
first,first
ship,ship
city,city
confirm,confirm
toll,toll
world,world
quarantine,quarantine
japan,japan
state,state
travel,travel
country,country
fear,fear
flight,flight
hit,hit
test,test
rise,rise
official,official
day,day
hong,hong
global,global
evacuate,evacuate
two,two
infect,infect
due,due
beyond,beyond
amid,amid
number,number
citizen,citizen
hubei,hubei
passenger,passenger
hospital,hospital
year,year
close,close
patient,patient
contain,contain
government,government
national,national
take,take
update,update
authority,authority
deadly,deadly
help,help
least,least
public,public
continue,continue
province,province
million,million
impact,impact
emergency,emergency
infection,infection
total,total
could,could
kill,kill
week,week
epidemic,epidemic
accord,accord
positive,positive
suspend,suspend
economy,economy
outside,outside
novel,novel
market,market
control,control
disease,disease
three,three
die,die
work,work
risk,risk
epicenter,epicenter
one,one
around,around
mask,mask
center,center
know,know
medium,medium
home,home
doctor,doctor
united,united
stock,stock
organization,organization
may,may
fight,fight
spreading,spreading
business,business
face,face
show,show
across,across
include,include
concern,concern
medical,medical
follow,follow
keep,keep
singapore,singapore
effort,effort
confirmed,confirmed
second,second
see,see
demand,demand
south,south
symptom,symptom
warn,warn
resident,resident
beijing,beijing
measure,measure
central,central
announce,announce
bring,bring
big,big
declare,declare
supply,supply
back,back
evacuee,evacuee
grow,grow
korea,korea
find,find
return,return
company,company
become,become
major,major
oil,oil
japanese,japanese
leave,leave
commission,commission
source,source
france,france
billion,billion
man,man
use,use
ban,ban
like,like
make,make
plan,plan
worker,worker
illness,illness
vaccine,vaccine
begin,begin
cut,cut
time,time
hundred,hundred
treat,treat
street,street
stop,stop
expert,expert
high,high
live,live
try,try
student,student
australia,australia
international,international
despite,despite
bank,bank
president,president
start,start
get,get
still,still
foreign,foreign
minister,minister
apple,apple
rate,rate
trade,trade
drug,drug
princess,princess
ministry,ministry
cancel,cancel
raise,raise
firm,firm
month,month
diamond,diamond
california,california
investor,investor
share,share
early,early
step,step
fall,fall
growth,growth
fly,fly
affect,affect
department,department
tell,tell
treatment,treatment
carry,carry
human,human
part,part
far,far
person,person
record,record
airport,airport
air,air
production,production
asia,asia
five,five
large,large
lunar,lunar
economic,economic
family,family
globally,globally
force,force
build,build
set,set
prevention,prevention
food,food
end,end
asian,asian
jump,jump
holiday,holiday
nearly,nearly
arrive,arrive
prevent,prevent
staff,staff
top,top
french,french
statement,statement
shortage,shortage
wall,wall
slow,slow
factory,factory
dead,dead
taiwan,taiwan
shanghai,shanghai
thousand,thousand
base,base
contract,contract
temporarily,temporarily
need,need
threat,threat
increase,increase
stay,stay
urge,urge
store,store
fast,fast
area,area
study,study
many,many
curb,curb
call,call
would,would
response,response
flu,flu
low,low
another,another
service,service
diagnose,diagnose
put,put
old,old
remain,remain
battle,battle
place,place
sale,sale
plane,plane
drop,drop
already,already
shut,shut
thailand,thailand
restriction,restriction
respiratory,respiratory
seek,seek
tokyo,tokyo
come,come
among,among
chief,chief
since,since
scientist,scientist
contact,contact
covid,covid
last,last
conference,conference
stand,stand
tourist,tourist
visit,visit
local,local
canada,canada
dock,dock
plant,plant
malaysia,malaysia
question,question
cause,cause
yuan,yuan
avoid,avoid
worry,worry
limit,limit
resume,resume
australian,australian
consider,consider
appear,appear
long,long
level,level
lead,lead
resort,resort
full,full
fatality,fatality
away,away
police,police
trump,trump
order,order
six,six
almost,almost
board,board
cambodia,cambodia
halt,halt
vietnam,vietnam
move,move
likely,likely
huawei,huawei
quarter,quarter
way,way
protect,protect
dozen,dozen
strand,strand
panic,panic
turn,turn
video,video
british,british
hold,hold
sell,sell
pull,pull
line,line
expect,expect
scramble,scramble
pandemic,pandemic
land,land
trial,trial
traveler,traveler
liner,liner
infectious,infectious
ease,ease
run,run
aboard,aboard
extend,extend
price,price
hurt,hurt
result,result
give,give
race,race
look,look
industry,industry
recently,recently
offer,offer
data,data
support,support
near,near
must,must
several,several
anger,anger
border,border
monitor,monitor
allow,allow
financial,financial
wear,wear
mobile,mobile
output,output
climb,climb
mount,mount
discover,discover
meet,meet
breaking,breaking
issue,issue
threaten,threaten
employee,employee
daily,daily
revenue,revenue
good,good
facebook,facebook
newly,newly
head,head
body,body
pass,pass
possible,possible
woman,woman
social,social
entry,entry
director,director
watch,watch
transmission,transmission
infected,infected
warning,warning
evacuation,evacuation
lock,lock
track,track
event,event
surgical,surgical
potential,potential
san,san
news,news
life,life
meeting,meeting
stick,stick
hard,hard
germany,germany
office,office
secretary,secretary
congress,congress
related,related
release,release
also,also
third,third
korean,korean
jinping,jinping
crew,crew
port,port
leader,leader
team,team
combat,combat
much,much
yet,yet
animal,animal
loss,loss
screen,screen
charter,charter
exclusive,exclusive
effect,effect
hand,hand
open,open
bed,bed
restrict,restrict
bad,bad
change,change
sign,sign
military,military
even,even
advisory,advisory
advise,advise
development,development
read,read
school,school
past,past
import,import
great,great
north,north
march,march
profit,profit
county,county
transport,transport
snake,snake
party,party
alarm,alarm
university,university
cost,cost
soon,soon
foundation,foundation
general,general
send,send
region,region
empty,empty
identify,identify
sector,sector
story,story
maker,maker
reach,reach
spike,spike
group,group
washington,washington
implement,implement
trigger,trigger
whether,whether
analysis,analysis
peak,peak
ask,ask
post,post
protest,protest
rule,rule
pose,pose
disrupt,disrupt
reduce,reduce
chain,chain
zero,zero
provide,provide
serious,serious
deal,deal
airway,airway
tourism,tourism
stricken,stricken
check,check
link,link
cough,cough
spark,spark
today,today
form,form
blow,blow
agency,agency
reveal,reveal
victim,victim
nine,nine
fund,fund
catch,catch
prepare,prepare
point,point
island,island
crisis,crisis
officer,officer
information,information
write,write
best,best
fuel,fuel
weekend,weekend
administration,administration
robot,robot
isolation,isolation
inside,inside
fourth,fourth
previous,previous
target,target
recent,recent
sicken,sicken
fell,fell
car,car
direct,direct
diplomat,diplomat
winter,winter
press,press
coverage,coverage
baby,baby
anyone,anyone
alert,alert
procedure,procedure
additional,additional
add,add
house,house
four,four
reporter,reporter
disembark,disembark
original,original
misinformation,misinformation
capital,capital
small,small
krait,krait
cobra,cobra
tariff,tariff
believe,believe
federal,federal
finally,finally
half,half
counter,counter
journal,journal
communist,communist
technology,technology
viral,viral
hour,hour
delta,delta
ten,ten
wash,wash
arrival,arrival
founder,founder
sneeze,sneeze
fake,fake
population,population
war,war
phone,phone
overseas,overseas
well,well
prompt,prompt
policy,policy
often,often
currently,currently
decision,decision
pneumonia,pneumonia
experience,experience
contagious,contagious
basis,basis
screening,screening
single,single
mark,mark
though,though
fatal,fatal
false,false
wild,wild
nose,nose
red,red
allegedly,allegedly
former,former
sweep,sweep
depart,depart
care,care
cross,cross
customer,customer
cover,cover
mouth,mouth
transmit,transmit
rein,rein
attorney,attorney
laboratory,laboratory
nonessential,nonessential
trading,trading
exacerbate,exacerbate
hop,hop
announcement,announcement
cook,cook
thoroughly,thoroughly
resource,resource
f,f
y,y
ued,ued
celebion,celebion
ngrade,ngrade
ist,ist
ry,ry
c,c
han,han
